CensusID,CensusName,MedianIncomeByPlaceofBirth,MedianIncome,TotalPopulation,AvgPopulation,Population5M,Population45M,Population4M,Population35M,Population3M
1400000US36103158112,"Census Tract 1581.12, Suffolk County, New York",34337.0000,89961.0000,4307.0000,4296,326175.0000,276100.0000,230968.0000,197248.0000,146707.0000
1400000US36103158205,"Census Tract 1582.05, Suffolk County, New York",39671.0000,114028.0000,1867.0000,1940,177721.0000,158188.0000,123752.0000,115892.0000,88494.0000
1400000US36103158207,"Census Tract 1582.07, Suffolk County, New York",61568.0000,119167.0000,4554.0000,4698,167660.0000,136881.0000,131609.0000,95294.0000,77329.0000
1400000US36103158308,"Census Tract 1583.08, Suffolk County, New York",34246.0000,99766.0000,8787.0000,9050,229951.0000,221382.0000,206005.0000,165505.0000,139428.0000
1400000US36103158323,"Census Tract 1583.23, Suffolk County, New York",50220.0000,113594.0000,6513.0000,6730,181939.0000,166604.0000,148085.0000,111950.0000,95334.0000
1400000US36103158402,"Census Tract 1584.02, Suffolk County, New York",54848.0000,127478.0000,4500.0000,4557,74561.0000,70395.0000,59442.0000,39623.0000,39623.0000
1400000US36103158410,"Census Tract 1584.10, Suffolk County, New York",28387.0000,40250.0000,3177.0000,3249,128932.0000,104430.0000,81837.0000,68257.0000,60482.0000
1400000US36107020701,"Census Tract 207.01, Tioga County, New York",25070.0000,46756.0000,3014.0000,3032,16821.0000,16821.0000,16821.0000,8180.0000,8180.0000
1400000US36071014202,"Census Tract 142.02, Orange County, New York",55077.0000,122964.0000,6025.0000,5960,89845.0000,89845.0000,86004.0000,74599.0000,71606.0000
1400000US36071014301,"Census Tract 143.01, Orange County, New York",30107.0000,79718.0000,5062.0000,4933,71966.0000,64676.0000,50237.0000,40960.0000,37332.0000
1400000US36071014302,"Census Tract 143.02, Orange County, New York",46237.0000,113264.0000,6909.0000,6968,75445.0000,54651.0000,50761.0000,44801.0000,44801.0000
1400000US36067004400,"Census Tract 44, Onondaga County, New York",7179.0000,24792.0000,2023.0000,2050,248047.0000,223990.0000,209300.0000,193941.0000,171224.0000
1400000US36067004600,"Census Tract 46, Onondaga County, New York",30891.0000,81726.0000,4853.0000,5226,242704.0000,228131.0000,205302.0000,178607.0000,118595.0000
1400000US36067004900,"Census Tract 49, Onondaga County, New York",28472.0000,36316.0000,1363.0000,1334,246584.0000,210517.0000,196913.0000,183726.0000,128614.0000
1400000US36067005100,"Census Tract 51, Onondaga County, New York",19279.0000,28833.0000,2221.0000,2143,234963.0000,222968.0000,206626.0000,179341.0000,155496.0000
1400000US36067005400,"Census Tract 54, Onondaga County, New York",15779.0000,24514.0000,2411.0000,2762,234793.0000,223277.0000,211459.0000,181040.0000,154197.0000
1400000US36067005900,"Census Tract 59, Onondaga County, New York",15727.0000,29757.0000,1710.0000,1657,225191.0000,223277.0000,196499.0000,166767.0000,136235.0000
1400000US36067010100,"Census Tract 101, Onondaga County, New York",45863.0000,87331.0000,2733.0000,2804,53362.0000,51146.0000,41546.0000,37341.0000,21939.0000
1400000US36067010400,"Census Tract 104, Onondaga County, New York",43779.0000,87535.0000,4122.0000,4197,39665.0000,32196.0000,26404.0000,26404.0000,26404.0000
1400000US36067010900,"Census Tract 109, Onondaga County, New York",31088.0000,56346.0000,2295.0000,2333,183857.0000,167215.0000,143759.0000,98728.0000,81665.0000
1400000US36067011232,"Census Tract 112.32, Onondaga County, New York",41659.0000,82813.0000,3988.0000,3810,133047.0000,115422.0000,97252.0000,63646.0000,56917.0000
1400000US36081092800,"Census Tract 928, Queens County, New York",61837.0000,139226.0000,3470.0000,3323,320267.0000,191234.0000,94072.0000,58611.0000,44645.0000
1400000US36107020702,"Census Tract 207.02, Tioga County, New York",25270.0000,53603.0000,4388.0000,4353,27479.0000,27479.0000,15628.0000,15628.0000,15628.0000
1400000US36109000300,"Census Tract 3, Tompkins County, New York",2854.0000,62083.0000,2796.0000,2794,87313.0000,76720.0000,68149.0000,68149.0000,61988.0000
1400000US36109000400,"Census Tract 4, Tompkins County, New York",3140.0000,36635.0000,4282.0000,4287,82401.0000,82401.0000,72539.0000,61988.0000,61465.0000
1400000US36109000500,"Census Tract 5, Tompkins County, New York",35516.0000,55000.0000,4895.0000,4750,82401.0000,82401.0000,69556.0000,75717.0000,61465.0000
1400000US36109001800,"Census Tract 18, Tompkins County, New York",32147.0000,59364.0000,5007.0000,4912,27659.0000,19988.0000,19988.0000,13827.0000,13827.0000
1400000US36109002100,"Census Tract 21, Tompkins County, New York",27266.0000,52440.0000,4148.0000,4390,39287.0000,33596.0000,26859.0000,18814.0000,18814.0000
1400000US36067011242,"Census Tract 112.42, Onondaga County, New York",40214.0000,87391.0000,6787.0000,6641,142299.0000,112821.0000,99493.0000,92988.0000,69060.0000
1400000US36071014502,"Census Tract 145.02, Orange County, New York",44091.0000,95662.0000,4923.0000,5106,53127.0000,46159.0000,46159.0000,39500.0000,35203.0000
1400000US36071015200,"Census Tract 152, Orange County, New York",38656.0000,95881.0000,10256.0000,9858,97212.0000,81184.0000,68147.0000,53306.0000,37933.0000
1400000US36073040802,"Census Tract 408.02, Orleans County, New York",25306.0000,45426.0000,3809.0000,3863,39795.0000,35361.0000,35361.0000,27395.0000,15322.0000
1400000US36087011101,"Census Tract 111.01, Rockland County, New York",41164.0000,109059.0000,6672.0000,6788,225323.0000,174154.0000,145105.0000,130873.0000,90749.0000
1400000US36087011200,"Census Tract 112, Rockland County, New York",58661.0000,144688.0000,6435.0000,6193,279754.0000,246257.0000,190512.0000,168626.0000,118351.0000
1400000US36087011301,"Census Tract 113.01, Rockland County, New York",23788.0000,51181.0000,8277.0000,7975,277931.0000,254661.0000,234443.0000,222293.0000,167280.0000
1400000US36087011303,"Census Tract 113.03, Rockland County, New York",51442.0000,100903.0000,5702.0000,5980,295350.0000,273008.0000,252553.0000,185611.0000,142254.0000
1400000US36087011404,"Census Tract 114.04, Rockland County, New York",58125.0000,104111.0000,3920.0000,3844,277303.0000,248372.0000,238352.0000,195880.0000,189457.0000
1400000US36081007900,"Census Tract 79, Queens County, New York",30131.0000,50072.0000,3376.0000,3384,3325698.0000,2763808.0000,2183046.0000,1703555.0000,1337755.0000
1400000US36081008500,"Census Tract 85, Queens County, New York",24375.0000,43750.0000,1090.0000,1129,3325819.0000,2784659.0000,2264105.0000,1806648.0000,1370938.0000
1400000US36081010200,"Census Tract 102, Queens County, New York",22405.0000,52443.0000,3085.0000,3132,1774231.0000,1399075.0000,1102188.0000,915109.0000,704363.0000
1400000US36067011402,"Census Tract 114.02, Onondaga County, New York",36169.0000,74140.0000,4428.0000,4515,53305.0000,46624.0000,21690.0000,16789.0000,16789.0000
1400000US36067011600,"Census Tract 116, Onondaga County, New York",37553.0000,74094.0000,5414.0000,5124,56358.0000,56358.0000,48850.0000,42966.0000,35877.0000
1400000US36067012400,"Census Tract 124, Onondaga County, New York",36533.0000,70000.0000,4217.0000,4202,101210.0000,79781.0000,62703.0000,53694.0000,47004.0000
1400000US36067012900,"Census Tract 129, Onondaga County, New York",26008.0000,37467.0000,2601.0000,2641,237141.0000,208278.0000,178262.0000,143240.0000,92725.0000
1400000US36067013100,"Census Tract 131, Onondaga County, New York",36304.0000,76814.0000,4679.0000,4662,214523.0000,183281.0000,137590.0000,102893.0000,88450.0000
1400000US36067014200,"Census Tract 142, Onondaga County, New York",31530.0000,51184.0000,3643.0000,3523,279940.0000,229380.0000,207858.0000,164278.0000,138803.0000
1400000US36067014500,"Census Tract 145, Onondaga County, New York",35218.0000,52656.0000,3774.0000,3721,169289.0000,133086.0000,113863.0000,77494.0000,60718.0000
1400000US36067015000,"Census Tract 150, Onondaga County, New York",46818.0000,94702.0000,4588.0000,4467,78366.0000,73140.0000,53193.0000,44142.0000,37826.0000
1400000US36081124100,"Census Tract 1241, Queens County, New York",31026.0000,63333.0000,3746.0000,3621,1960772.0000,1719470.0000,1435545.0000,1159415.0000,878712.0000
